"gender","age","counts_pictures","counts_profileVisits","counts_kisses","flirtInterests_chat","flirtInterests_friends","flirtInterests_date","connectedToFacebook","isVIP","isVerified","lang_count","lang_fr","lang_en","lang_de","lang_it","lang_es","lang_pt","countDetails","freshman","hasBirthday","highlighted"
FALSE,25,4,8279,239,"true","true","true","false","false","false",1,"false","false","true","false","false","false",1,"false","false","false"
FALSE,22,5,663,13,"true","true","true","false","false","false",3,"true","false","true","true","false","false",0.850000023841858,"false","false","false"
FALSE,20,3,22187,1015,"true","true","false","false","false","false",2,"true","true","false","false","false","false",0.119999997317791,"false","false","false"
FALSE,24,18,7339,180,"true","false","true","false","false","false",2,"false","true","true","false","false","false",0.810000002384186,"false","false","false"
FALSE,24,13,18672,492,"false","true","false","false","false","false",5,"false","true","true","false","false","false",0.649999976158142,"false","false","false"
FALSE,23,6,19091,1348,"true","false","true","false","false","false",2,"false","true","true","false","false","false",0.810000002384186,"false","false","false"
FALSE,20,14,29984,2389,"true","true","true","false","false","false",3,"true","true","true","false","false","false",0.879999995231628,"false","false","false"
FALSE,24,1,5979,147,"true","true","true","false","false","false",2,"false","true","true","false","false","false",0.810000002384186,"false","false","false"
FALSE,22,3,10450,421,"true","true","false","false","false","false",1,"false","false","true","false","false","false",0.540000021457672,"false","false","false"
FALSE,20,5,2612,117,"true","true","false","false","false","false",1,"false","false","true","false","false","false",0.9200000166893,"false","false","false"
FALSE,20,12,32450,787,"true","true","true","false","false","true",1,"false","false","true","false","false","false",0.850000023841858,"false","false","false"
FALSE,22,4,1710,116,"false","false","true","false","false","false",1,"false","false","true","false","false","false",0.959999978542328,"false","false","false"
FALSE,25,13,26842,643,"false","true","true","false","false","false",1,"false","false","true","false","false","false",0.5799999833107,"false","false","false"
FALSE,22,2,20266,1148,"true","true","true","false","false","false",1,"false","false","true","false","false","false",1,"false","false","false"
FALSE,20,4,16683,647,"true","false","false","false","false","true",1,"false","false","true","false","false","false",0.0399999991059303,"false","false","false"
FALSE,25,7,3413,86,"true","false","true","false","false","false",1,"false","false","true","false","false","false",0.9200000166893,"false","false","false"
FALSE,19,13,8310,143,"true","false","false","false","false","false",3,"true","true","true","false","false","false",0.810000002384186,"false","false","false"
FALSE,21,1,25903,982,"true","true","true","false","false","false",1,"false","false","true","false","false","false",0.620000004768372,"false","false","false"
FALSE,21,27,33018,812,"true","true","true","false","false","true",1,"false","false","true","false","false","false",0.850000023841858,"false","false","false"
FALSE,22,15,2502,25,"true","false","false","false","false","false",1,"false","false","true","false","false","false",0,"false","false","false"
FALSE,24,5,22847,1282,"true","false","false","false","false","true",4,"true","true","true","true","false","false",0.189999997615814,"false","false","false"
FALSE,21,13,7407,125,"true","true","true","false","false","false",3,"true","true","true","false","false","false",1,"false","false","false"
